4911-Centrize
(x,y,z,r)
(7.95285, -18.22042, -3.85258, 20.25028)
(-8.86442, -12.61690, 13.15292, 20.26730)
(-16.71404, -11.38503, 1.76864, 20.30040)
(-10.54744, -7.96733, -15.47219, 20.34983)
(20.28630, 1.05388, -1.38470, 20.36080)
(-4.38059, -19.45229, 4.23652, 20.38453)
(9.63563, 4.47158, -17.45549, 20.43366)
(-8.86442, -18.22042, -2.68253, 20.43912)
(15.80247, -12.61690, -3.02527, 20.44643)
(14.11945, -14.80272, 0.02052, 20.45678)
(15.80247, 2.28576, 12.81019, 20.47056)
(-8.86442, 1.05388, -18.51799, 20.55734)
(9.63563, 11.30696, 14.21541, 20.56139)
(-8.86442, 2.28576, 18.43141, 20.57959)
(7.95285, 14.72466, 11.98288, 20.58283)
(-2.69782, 11.30696, 17.02602, 20.61580)
(-15.03127, 12.53884, -6.55579, 20.64315)
(-4.38059, 2.28576, 20.07197, 20.67119)
(1.78601, -16.03460, -13.00432, 20.72222)
(20.28630, 2.28576, 3.89378, 20.78269)
(15.80247, -4.54964, 12.81019, 20.84510)
(15.80247, 1.05388, -13.58224, 20.86399)
(9.63563, 18.14236, 3.65845, 20.86563)
(1.78601, -9.19921, 18.66659, 20.88676)
(-16.71404, 2.28576, 12.32561, 20.89269)
(-2.69782, 5.70345, -19.92337, 20.89852)
(-10.54744, -7.96733, 16.19871, 20.90754)
(-4.38059, -19.45229, -6.32045, 20.91720)
(1.78601, 19.37423, -7.72584, 20.93416)
(-8.86442, -4.54964, 18.43141, 20.95218)
(-15.03127, -1.13194, 14.55815, 20.95614)
(-16.71404, 9.12115, -8.78833, 20.97115)
(-15.03127, 11.30696, 9.27967, 20.97376)
(7.95285, -18.22042, 6.70439, 20.98047)
(-10.54744, 18.14236, 0.36326, 20.98870)
(-4.38059, -18.22042, 9.51500, 21.01686)
(-4.38059, -4.54964, 20.07197, 21.04217)
(7.95285, -19.45229, 1.42591, 21.06354)
(7.95285, 9.12115, 17.26136, 21.08074)
(20.28630, -5.78151, -1.38470, 21.13947)
(20.28630, -4.54964, 3.89378, 21.15171)
(15.80247, -11.38503, -8.30375, 21.17284)
(3.46903, 1.05388, 20.89928, 21.21143)
(-15.03127, -9.19921, -11.83428, 21.22768)
(-16.71404, -12.61690, -3.50984, 21.23357)
(7.95285, 1.05388, -19.68803, 21.25975)
(-16.71404, -4.54964, 12.32561, 21.25980)
(-21.19786, 2.28576, 0.12808, 21.32113)
(-4.38059, 14.72466, 14.79349, 21.32727)
(-8.86442, -5.78151, -18.51799, 21.32884)
(14.11945, -2.36382, -15.81493, 21.33210)
(14.11945, -2.36382, 15.85598, 21.36255)
(9.63563, -14.80272, -12.17701, 21.45333)
(-15.03127, -14.80272, 4.00118, 21.47252)
(20.28630, 2.28576, -6.66319, 21.47456)
(-4.38059, -12.61690, -16.87742, 21.52262)
(-8.86442, -19.45229, 2.59595, 21.53389)
(15.80247, -12.61690, 7.53170, 21.57848)
(14.11945, 12.53884, -10.53644, 21.62402)
(15.80247, -5.78151, -13.58224, 21.62455)
(-2.69782, -7.96733, -19.92337, 21.62631)
(3.46903, 1.05388, -21.32860, 21.63455)
(-8.86442, 14.72466, 13.15292, 21.64239)
(14.11945, 12.53884, 10.57749, 21.64405)
(14.11945, 4.47158, -15.81493, 21.66716)
(9.63563, 18.14236, -6.89853, 21.66980)
(-21.19786, -4.54964, 0.12808, 21.68098)
(-2.69782, 19.37423, -9.36640, 21.68798)
(-15.03127, 5.70345, 14.55815, 21.68889)
(14.11945, 4.47158, 15.85598, 21.69714)
(9.63563, 19.37423, -1.62004, 21.69863)
(-10.54744, -16.03460, -10.19371, 21.73174)
(-8.86442, -18.22042, 7.87444, 21.73863)
(9.63563, -1.13194, 19.49390, 21.77472)
(15.80247, 14.72466, -3.02527, 21.81023)
(20.28630, 7.88927, -1.38470, 21.81036)
(20.28630, -4.54964, -6.66319, 21.83189)
(-2.69782, -21.63811, 1.19057, 21.83812)
(3.46903, 21.56005, -0.21466, 21.83841)
(-21.19786, 1.05388, -5.15041, 21.84003)
(-16.71404, 1.05388, -14.06681, 21.87110)
(-2.69782, -16.03460, -14.64489, 21.88285)
(1.78601, -21.63811, 2.83114, 21.89550)
(1.78601, 11.30696, 18.66659, 21.89701)
(-21.19786, 1.05388, 5.40656, 21.90185)
(9.63563, -9.19921, -17.45549, 21.95826)
(3.46903, -5.78151, 20.89928, 21.95996)
(-8.86442, 7.88927, -18.51799, 21.99396)
(14.11945, -16.03460, -5.25796, 22.00258)
(7.95285, -5.78151, -19.68803, 22.00664)
(14.11945, -16.03460, 5.29901, 22.01242)
(-15.03127, -16.03460, -1.27731, 22.01542)
(-4.38059, -18.22042, -11.59894, 22.03880)
(-16.71404, -11.38503, -8.78833, 22.05023)
(-10.54744, -16.03460, 10.92023, 22.08185)
(-15.03127, -14.80272, -6.55579, 22.09158)
(-16.71404, -12.61690, 7.04713, 22.09541)
(21.96907, -2.36382, 0.84783, 22.11214)
(7.95285, -11.38503, 17.26136, 22.15449)
(-15.03127, 11.30696, -11.83428, 22.22243)
(1.78601, 12.53884, -18.28280, 22.24125)
(15.80247, 7.88927, -13.58224, 22.28084)
(20.28630, 1.05388, 9.17227, 22.28845)
(15.80247, 9.12115, 12.81019, 22.29382)
(3.46903, -19.45229, 10.34231, 22.30222)
(3.46903, -5.78151, -21.32860, 22.36893)
(-15.03127, -7.96733, 14.55815, 22.39100)
(1.78601, 18.14236, -13.00432, 22.39302)
(-8.86442, 9.12115, 18.43141, 22.39397)
(-4.38059, 21.56005, 4.23652, 22.40476)
(21.96907, 4.47158, 0.84783, 22.43555)
(21.96907, -1.13194, -4.43065, 22.43997)
(-4.38059, 9.12115, 20.07197, 22.47819)
(9.63563, 5.70345, 19.49390, 22.48081)
(-2.69782, -1.13194, 22.30451, 22.49557)
(3.46903, -19.45229, -10.77163, 22.50453)
(-10.54744, 12.53884, -15.47219, 22.53575)
(-8.86442, 15.95654, -13.23950, 22.54935)
(-16.71404, 14.72466, -3.50984, 22.54981)
(-21.19786, -5.78151, -5.15041, 22.56772)
(15.80247, 15.95654, 2.25322, 22.57003)
(20.28630, 9.12115, 3.89378, 22.58076)
(3.46903, 15.95654, 15.62079, 22.59766)
(-16.71404, -5.78151, -14.06681, 22.59779)
(-10.54744, 19.37423, -4.91523, 22.60019)
(3.46903, 7.88927, 20.89928, 22.60652)
(-21.19786, -5.78151, 5.40656, 22.62755)
(7.95285, 7.88927, -19.68803, 22.65187)
(-16.71404, 9.12115, 12.32561, 22.68204)
(-4.38059, 2.28576, -22.15591, 22.70019)
(-10.54744, 19.37423, 5.64175, 22.76925)
(-15.03127, -1.13194, -17.11276, 22.80497)
(-8.86442, -19.45229, -7.96102, 22.81112)
(-2.69782, 19.37423, 11.74754, 22.81762)
(-4.38059, 14.72466, -16.87742, 22.82220)
(21.96907, -1.13194, 6.12632, 22.83535)
(15.80247, 14.72466, 7.53170, 22.87489)
(-4.38059, 21.56005, -6.32045, 22.89047)
(3.46903, 15.95654, -16.05011, 22.89654)
(7.95285, -19.45229, -9.13106, 22.91322)
(9.63563, 11.30696, -17.45549, 22.92132)
(7.95285, 15.95654, -14.40955, 22.92365)
(20.28630, -5.78151, 9.17227, 23.00196)
(3.46903, 7.88927, -21.32860, 23.00400)
(-22.88089, -1.13194, -2.10462, 23.00534)
(14.11945, -14.80272, -10.53644, 23.01078)
(7.95285, 21.56005, 1.42591, 23.02427)
(14.11945, -14.80272, 10.57749, 23.02961)
(-4.38059, -4.54964, -22.15591, 23.03851)
(-10.54744, 12.53884, 16.19871, 23.04060)
(1.78601, -21.63811, -7.72584, 23.04531)
(1.78601, -22.86998, -2.44735, 23.06980)
(-21.19786, 9.12115, 0.12808, 23.07729)
(14.11945, -9.19921, -15.81493, 23.11053)
(21.96907, 5.70345, -4.43065, 23.12575)
(14.11945, -9.19921, 15.85598, 23.13863)
(9.63563, -7.96733, 19.49390, 23.15892)
(-16.71404, 15.95654, 1.76864, 23.17538)
(-2.69782, 5.70345, 22.30451, 23.17970)
(-21.19786, 7.88927, -5.15041, 23.19734)
(20.28630, 9.12115, -6.66319, 23.21912)
(-22.88089, -2.36382, 3.17387, 23.22059)
(-16.71404, 7.88927, -14.06681, 23.22660)
(-4.38059, 22.79193, -1.04197, 23.23246)
(-21.19786, 7.88927, 5.40656, 23.25556)
(15.80247, -11.38503, 12.81019, 23.31175)
(-10.54744, 18.14236, -10.19371, 23.33035)
(-16.71404, 14.72466, 7.04713, 23.36315)
(-2.69782, -22.86998, -4.08792, 23.38857)
(-10.54744, -2.36382, -20.75068, 23.39715)
(-8.86442, -11.38503, 18.43141, 23.40755)
(9.63563, 19.37423, 8.93693, 23.41100)
(-8.86442, 21.56005, 2.59595, 23.45533)
(-2.69782, 18.14236, -14.64489, 23.47117)
(-15.03127, 5.70345, -17.11276, 23.48009)
(-4.38059, -11.38503, 20.07197, 23.48813)
(9.63563, -16.03460, 14.21541, 23.49535)
(21.96907, 5.70345, 6.12632, 23.50960)
(-22.88089, 4.47158, 3.17387, 23.52878)
(-2.69782, -16.03460, 17.02602, 23.54298)
(20.28630, 1.05388, -11.94167, 23.56371)
(14.11945, 18.14236, -5.25796, 23.58284)
(20.28630, -11.38503, 3.89378, 23.58632)
(1.78601, -14.80272, -18.28280, 23.59176)
(14.11945, 18.14236, 5.29901, 23.59202)
(-15.03127, 18.14236, -1.27731, 23.59482)
(3.46903, 22.79193, 5.06383, 23.60399)
(1.78601, 19.37423, 13.38810, 23.61762)
(20.28630, 7.88927, 9.17227, 23.62001)
(-10.54744, 18.14236, 10.92023, 23.65682)
(-22.88089, 5.70345, -2.10462, 23.67475)
(-16.71404, -11.38503, 12.32561, 23.68330)
(-2.69782, 12.53884, -19.92337, 23.69476)
(3.46903, 22.79193, -5.49314, 23.69980)
(-10.54744, 4.47158, -20.75068, 23.70304)
(-2.69782, -21.63811, -9.36640, 23.73216)
(-21.19786, 2.28576, -10.42889, 23.73470)
(9.63563, -21.63811, -1.62004, 23.74190)
(1.78601, -2.36382, -23.56129, 23.74683)
(21.96907, -7.96733, -4.43065, 23.78548)
(21.96907, -9.19921, 0.84783, 23.83242)
(-2.69782, -7.96733, 22.30451, 23.83794)
(-21.19786, 2.28576, 10.68505, 23.84836)
(-15.03127, -16.03460, 9.27967, 23.85706)
(-10.54744, -14.80272, -15.47219, 23.86960)
(-2.69782, -22.86998, 6.46906, 23.91993)
(7.95285, 1.05388, 22.53985, 23.92495)
(20.28630, -12.61690, -1.38470, 23.92985)
(15.80247, 15.95654, -8.30375, 23.94330)
(14.11945, 19.37423, 0.02052, 23.97332)
(14.11945, 11.30696, -15.81493, 24.02745)
(1.78601, -1.13194, 23.94507, 24.03825)
(15.80247, 1.05388, 18.08867, 24.04223)
(-10.54744, -2.36382, 21.47720, 24.04384)
(1.78601, 4.47158, -23.56129, 24.04827)
(14.11945, 11.30696, 15.85598, 24.05449)
(-21.19786, -4.54964, -10.42889, 24.05848)
(-21.19786, -11.38503, 0.12808, 24.06210)
(-8.86442, -12.61690, -18.51799, 24.09730)
(-15.03127, -7.96733, -17.11276, 24.13014)
(21.96907, -2.36382, -9.70914, 24.13494)
(-22.88089, -2.36382, -7.38310, 24.15849)
(21.96907, -7.96733, 6.12632, 24.15886)
(3.46903, 21.56005, 10.34231, 24.16264)
(-21.19786, -4.54964, 10.68505, 24.17062)
(7.95285, -19.45229, 11.98288, 24.19150)
(20.28630, -11.38503, -6.66319, 24.19816)
(-8.86442, -18.22042, -13.23950, 24.20425)
(15.80247, -18.22042, 2.25322, 24.22352)
(20.28630, -5.78151, -11.94167, 24.23971)
(3.46903, -18.22042, 15.62079, 24.24927)
(-16.71404, 1.05388, 17.60410, 24.29762)
(-22.88089, -7.96733, -2.10462, 24.31960)
(1.78601, -22.86998, 8.10962, 24.33088)
(-10.54744, 4.47158, 21.47720, 24.34160)
