6121-Centrize
(x,y,z,r)
(2.87789, -2.54830, 7.34931, 8.29388)
(5.44473, 1.30583, -6.13994, 8.30958)
(5.42265, 5.23646, -3.57422, 8.34270)
(-0.74408, -0.20493, 8.38806, 8.42349)
(-3.28884, 7.57983, -1.80225, 8.45686)
(3.24666, 6.16279, -4.94661, 8.54340)
(5.44473, -6.52739, -0.86146, 8.54365)
(4.26256, -7.04032, 2.53153, 8.61070)
(-1.90416, 5.23646, -6.62013, 8.65289)
(1.96472, -5.38738, -6.50711, 8.67332)
(-6.91080, 5.23646, -0.76361, 8.70418)
(-1.92624, -5.52956, 6.50257, 8.75042)
(-8.09296, -2.11186, 2.62939, 8.76753)
(8.13157, -1.96969, -2.63386, 8.77150)
(-6.91080, 3.21277, 4.51488, 8.85806)
(1.55364, -5.38738, 6.86966, 8.86735)
(5.44473, -5.52956, 4.41703, 8.92923)
(3.24666, 6.16279, 5.61036, 8.94410)
(2.87789, 4.28709, 7.34931, 8.98186)
(5.42265, -1.59894, 6.98276, 8.98446)
(-0.72200, -8.94725, 0.54385, 8.99280)
(-5.89489, -1.13126, 6.71454, 9.00636)
(-0.74408, -5.01663, -7.44740, 9.01021)
(-6.91080, -3.62262, 4.51488, 9.01480)
(5.44473, 7.14339, -0.86146, 9.02304)
(-5.89489, 5.70413, -3.84244, 9.05821)
(-8.09296, -3.10969, -2.64910, 9.06553)
(-3.28884, 7.70478, 3.47613, 9.06993)
(-4.61296, -1.96969, -7.56041, 9.07297)
(4.26256, 1.81876, 7.81002, 9.08151)
(4.26256, -0.20493, -8.02544, 9.08950)
(1.55364, 0.16583, -8.96580, 9.10092)
(9.04461, 0.86939, 0.66552, 9.11064)
(0.27183, 9.12183, 0.03074, 9.12593)
(7.72049, 4.86570, 0.18595, 9.12774)
(8.13157, -3.25187, 2.64463, 9.14828)
(0.27183, -7.50799, -5.24774, 9.16420)
(-2.92007, -7.96665, -3.54120, 9.19426)
(1.55364, 8.28340, -3.68731, 9.19917)
(0.27183, -7.50799, 5.30923, 9.19955)
(-0.74408, 8.65415, 3.10958, 9.22591)
(0.64060, -2.67325, 8.84877, 9.26592)
(8.13157, 3.58352, 2.64463, 9.27136)
